ABloss,Bobloss,Eveloss
8.535721,8.404992932686582,8.924196
8.3746395,8.254391985130496,8.857682
8.2847185,8.171820503193885,8.796669
8.343661,8.236492189171258,8.734458
8.245129,8.133601686684415,8.896846
8.289201,8.173728029476479,8.755417
8.3723755,8.267784218187444,8.872393
8.266021,8.162184474407695,8.924102
8.267257,8.169475885166321,8.707594
8.263566,8.16781188629102,8.897848
8.187763,8.090247730491683,8.862579
8.19161,8.093473423155956,8.910675
8.207178,8.108089263027068,8.784345
8.213367,8.115826389810536,8.901687
8.226999,8.13098388700746,8.885301
8.201658,8.10590712778503,8.91641
8.171211,8.078561363916378,8.9269905
8.224396,8.131582700356375,8.930366
8.170378,8.07702181325294,8.934382
8.163633,8.071089357428718,9.023467
8.085083,7.991598507622257,8.95874
8.135147,8.041968962876126,8.912078
8.119011,8.02625634893775,8.8799095
8.217176,8.127954180003144,8.909238
8.105258,8.011614448565524,8.840477
8.18308,8.091144109435845,8.8619
8.165281,8.075965358526446,8.963459
8.20643,8.116772670997307,8.825546
8.104054,8.012465292587876,9.019142
8.156762,8.067365150491241,8.907228
8.037634,7.944611642858945,8.935734
8.016087,7.923185291350819,8.875439
8.145598,8.055285272712354,9.001365
8.040349,7.947518423025031,9.011335
8.11061,8.019337542296853,8.930627
8.144891,8.05569904128788,8.902109
8.071718,7.980443499749526,8.918257
8.125847,8.036982002435252,9.000563
8.134636,8.044628322531935,8.826887
8.082858,7.991936965379864,8.921078
8.158252,8.069629252771847,8.975168
8.080461,7.989882270339876,8.871157
8.130098,8.040684139356017,8.9086075
8.115214,8.026914571411908,8.937372
8.061284,7.971046645427123,8.856129
8.022667,7.933301915589254,8.872852
8.139863,8.05141311319312,8.825788
8.058304,7.968652571202256,8.932446
8.170767,8.083739900786895,9.00911
8.196424,8.109914478147402,9.080437
8.129209,8.040712073328905,8.95756
8.14778,8.060153975093272,9.036223
8.265181,8.180800880596507,8.9844055
8.157887,8.07130697381217,8.964554
8.131629,8.043571122048888,8.8942
8.072046,7.9834798439987935,8.946959
8.241851,8.157544577668887,8.983164
8.208735,8.12324362527579,8.907351
8.170711,8.084624342969619,8.974703
8.0647335,7.977215752645861,8.88084
8.1412325,8.054718959960155,8.926763
8.137273,8.051270936790388,9.019861
8.072179,7.984239794197492,8.94813
8.041527,7.9540361823746935,8.989259
8.0649805,7.977296377590392,8.943542
8.206228,8.121787493349984,8.969342
8.089476,8.00447151134722,8.994087
8.145996,8.060217302059755,9.078606
8.107331,8.02175106620416,9.067793
8.146305,8.061566232761834,8.96287
8.125349,8.040192617510911,9.156057
8.04286,7.95530617138138,9.034525
8.083993,7.997981941036414,8.95195
8.274676,8.193074835638981,8.987124
8.056169,7.9704281242447905,9.02732
8.137161,8.052900006587151,9.032102
8.056332,7.970705124142114,9.02905
8.14686,8.063043003319763,9.055746
8.103989,8.01876813772833,9.04179
8.202286,8.119946028746199,9.1677475
8.015538,7.929085245239548,9.135153
8.149488,8.065797690185718,9.071396
7.9707527,7.883775918977335,9.138916
8.1122055,8.027443692728411,9.087276
8.219487,8.137860622198787,9.09878
8.146177,8.063190639542881,9.093298
8.12457,8.041881999059115,9.166014
8.051226,7.965958180022426,8.95404
7.976098,7.888333867012989,8.972175
8.087263,8.002170617633965,9.182705
8.185438,8.103241750388406,9.203539
8.18994,8.107352443039417,9.022703
8.196809,8.114486736303661,9.093292
8.073698,7.988929437939078,9.155495
8.075008,7.990099046786781,9.072729
8.191582,8.109988598152995,9.182768
8.090119,8.005805592983961,9.199503
8.059497,7.973893036833033,9.133331
8.046694,7.961350599129219,9.172382
8.226969,8.145704125287011,9.129639
8.122735,8.040578458691016,9.059774
8.136543,8.053435824811459,9.134383
8.078502,7.994316028081812,9.036337
8.11594,8.033005360106472,9.099386
8.053231,7.967972822953016,9.139219
8.139175,8.057197034533601,9.19794
8.123131,8.0407775878557,9.083722
8.043717,7.958989002509043,9.168024
8.137007,8.054649736557622,9.087832
8.042234,7.958329708199017,9.17588
8.054813,7.970923930115532,9.189405
8.029413,7.944410630094353,9.148027
8.031204,7.9467508446541615,9.167639
8.1181345,8.035758106852882,9.106075
8.182964,8.102811230986845,9.201736
8.130961,8.048911898338702,9.147791
8.100023,8.017232652113307,9.131659
8.066053,7.982399989210535,9.060919
8.140166,8.058769878873136,9.15705
8.101231,8.019164834462572,9.154997
8.131686,8.050126345187891,9.1231785
8.066873,7.983462304400746,9.043707
8.134681,8.053049559588544,9.095293
8.12165,8.040048925904557,9.262608
8.108988,8.027293304970954,9.192305
8.241034,8.161716286209412,9.239178
8.093096,8.0110726277926,9.159566
8.090586,8.008524410310201,9.1521435
8.237044,8.157387203769758,9.189941
8.136459,8.054392029007431,9.178303
8.092429,8.010170376277529,9.222897
8.176622,8.096609502681531,9.109947
8.07283,7.9903500732034445,9.109911
8.103675,8.021203974145465,9.070869
8.061293,7.979253184981644,9.225091
8.097532,8.016158362908754,9.133892
8.090406,8.007388933736365,9.119163
8.099792,8.019123067439068,9.176004
8.081189,7.998849780182354,9.200005
8.105552,8.02345021464862,9.226021
8.18218,8.102509404707234,9.197517
8.122103,8.040689521410968,9.136539
8.202054,8.12275460793171,9.2066965
8.156894,8.076950677088462,9.188882
8.037012,7.953426779829897,9.146282
8.074173,7.992770440818276,9.216366
8.021871,7.93900037027197,9.281214
8.209009,8.130198102851864,9.271956
8.082407,8.000555494334549,9.156512
8.126515,8.046138685022015,9.162682
8.073899,7.992340187774971,9.195638
8.167978,8.088660599722061,9.169008
8.060474,7.978841109958012,9.164434
8.138495,8.057217198249418,9.166343
8.086425,8.005385327443946,9.213591
8.170284,8.090814340685029,9.24264
8.100449,8.01935456407955,9.164006
8.109662,8.028699467307888,9.123777
8.102001,8.021365618624259,9.223871
8.041172,7.958991343912203,9.166601
8.138999,8.059192471730057,9.24418
8.077994,7.996301394246984,9.284501
8.126361,8.046290100319311,9.25271
8.096829,8.016311394108925,9.24334
8.042135,7.9601477342657745,9.2625065
8.089743,8.008522818388883,9.231038
8.01971,7.9382767176721245,9.274144
8.065548,7.984237641561776,9.227137
8.100002,8.020718771382235,9.224412
8.000972,7.918405497679487,9.259857
8.073679,7.993406150257215,9.214267
8.161588,8.083275294105988,9.16073
8.065176,7.98363634897396,9.36628
8.088571,8.009118271700572,9.259867
8.181608,8.10316197044449,9.256115
8.078532,7.998214067250956,9.076259
8.087651,8.007256277662236,9.305803
8.034151,7.9529525845428,9.260644
8.075993,7.995791391527746,9.211109
8.099245,8.019981351157185,9.308928
8.080311,7.9998897180194035,9.30929
8.071951,7.99192892271094,9.230782
8.054215,7.974008152028546,9.320841
8.104354,8.024880450335331,9.301425
8.086782,8.00727375637507,9.3841095
8.086308,8.007247255998664,9.194904
8.034503,7.9537390432087705,9.244649
8.094148,8.0152064615977,9.2713995
8.131332,8.053559044201393,9.263546
8.077335,7.997590265295003,9.277279
8.207313,8.130121783469804,9.28911
8.087021,8.007977816916537,9.18977
8.158014,8.081005968037061,9.394782
8.0586815,7.9794650615076534,9.275688
8.087573,8.00877420505276,9.348711
8.159326,8.080997858836781,9.311607
8.027196,7.946357801090926,9.368759
8.05638,7.9763693767017685,9.249516
8.233642,8.15706026373664,9.273748
8.12912,8.051249107404146,9.342913
8.116249,8.038177966023795,9.325869
8.188055,8.111850984452758,9.428547
8.035136,7.955940823594574,9.246867
8.033105,7.953366915811785,9.296625
7.99651,7.916508842550684,9.357462
8.042389,7.962855909427162,9.313573
8.059428,7.979007163026836,9.327233
8.106097,8.027785086131189,9.265068
7.9848776,7.9040123131126165,9.281433
7.986139,7.905264144355897,9.243482
8.080706,8.00233751180349,9.288748
8.09277,8.014600494061597,9.261129
8.062609,7.98335618263809,9.321562
8.101341,8.022226118540857,9.231737
8.129809,8.053290805139113,9.264568
8.150349,8.073920448950958,9.310692
8.162782,8.086006538302172,9.312063
8.077834,7.999357012624387,9.415743
7.9860578,7.906490134482738,9.392217
8.161218,8.083413608314004,9.372527
8.13673,8.059710895700846,9.384167
8.034133,7.955891399702523,9.328462
8.133301,8.055208392674103,9.290178
8.063816,7.9845023478847,9.284663
8.008856,7.928817636158783,9.229023
8.065994,7.986593043140601,9.270392
8.224621,8.149764107889496,9.214825
7.9845076,7.904075911967084,9.332403
8.018917,7.939444440125953,9.321529
8.04875,7.969838542107027,9.247797
7.929277,7.847402889863588,9.337801
8.10407,8.025850737642031,9.2385235
8.018971,7.940767164574936,9.384588
8.1705885,8.094809188798536,9.27779
8.089848,8.01114180724835,9.31827
8.04504,7.966035257908516,9.206354
8.091918,8.014159265148919,9.262077
8.1205435,8.043352500419132,9.278034
8.0875,8.009976522997022,9.308192
8.107049,8.030198529420886,9.356422
8.222072,8.146801874914672,9.335024
8.0380745,7.957667084061541,9.226572
8.180981,8.10530696209753,9.335246
8.074116,7.995959557592869,9.347202
8.079456,8.002043688262347,9.39864
8.164878,8.087904652347788,9.326191
8.039962,7.960288530623075,9.302122
8.067388,7.989199623349123,9.2006
8.081281,8.003618518530857,9.280067
8.100087,8.022705756768119,9.354374
8.193996,8.11750204168493,9.257011
8.060349,7.982426238886546,9.207605
8.078351,8.000970767228864,9.372946
8.119134,8.042200316675007,9.326868
7.991403,7.911908463633154,9.322335
8.10081,8.022786847432144,9.256645
8.071333,7.992859756457619,9.4084015
8.056022,7.9768981920788065,9.401211
8.130144,8.053554272744805,9.353359
8.071286,7.992012455419172,9.396091
8.059462,7.981536161445547,9.276262
8.132241,8.055799645313527,9.291726
7.967429,7.887334038561676,9.345642
8.118866,8.041775448364206,9.287302
8.151778,8.07539196050493,9.436485
8.14332,8.066131588129792,9.269525
8.011039,7.9315463690436445,9.222816
8.049815,7.971436164574698,9.308524
8.106949,8.030707007448655,9.350385
7.9979963,7.917969189176802,9.25692
8.038202,7.959567452664487,9.287846
8.083903,8.00691929308232,9.282814
7.9801292,7.899314721522387,9.260968
8.088742,8.010373701399658,9.388443
8.142288,8.065003664814867,9.325571
8.07701,7.999486663204152,9.279335
8.202519,8.126931174658239,9.188444
8.066852,7.98909205844393,9.376064
8.109358,8.032529267598875,9.297156
8.039496,7.961507803702261,9.326223
8.086114,8.007420638634358,9.357227
8.126893,8.050355940416921,9.46244
8.056163,7.977741277078167,9.300974
8.089185,8.01120712782722,9.209683
8.001558,7.921448441571556,9.303194
7.969244,7.888277071469929,9.371808
8.037995,7.959316161228344,9.451269
8.15483,8.078929819574114,9.364761
8.1992235,8.124252884823363,9.4017315
8.0816345,8.002925844455604,9.391406
8.010078,7.930384369392414,9.427134
8.088336,8.00959397101542,9.272793
8.189218,8.112747391220182,9.285532
8.040119,7.961752491013613,9.241679
8.114777,8.037385385599919,9.42065
8.141459,8.063765806437004,9.33518
8.215885,8.140791088284459,9.383373
8.049335,7.97089057759149,9.331983
8.00351,7.924258567392826,9.27807
8.0753565,7.995672844641376,9.292683
8.040238,7.960848122893367,9.310528
8.140804,8.063821309711784,9.38003
7.931956,7.851327068114188,9.356782
8.195838,8.12052712024888,9.347464
