ABloss,Bobloss,Eveloss
8.819474,8.625329682894517,8.97497
8.605315,8.424473978055175,8.888287
8.467584,8.30284272111021,8.8816185
8.466314,8.316661282326095,8.782338
8.316771,8.183940348390024,8.932961
8.333056,8.211756729637273,8.777607
8.42082,8.311622613633517,8.944134
8.314364,8.21204785478767,8.948887
8.318447,8.219736882427242,8.749931
8.310416,8.215376790671144,8.9312525
8.25749,8.158116071659606,8.86528
8.255023,8.157069124048576,8.939209
8.244832,8.14801433501998,8.838822
8.273652,8.177087588584982,8.94386
8.298009,8.202701268834062,8.937356
8.256365,8.160155504010618,8.958544
8.25132,8.1541179131018,8.967383
8.292882,8.198515049472917,8.976753
8.224695,8.12981224822579,8.987131
8.238461,8.141374927537981,9.076601
8.145654,8.050321512389928,8.981243
8.190176,8.094369485625066,8.97831
8.174556,8.078514826134779,8.914236
8.263512,8.172219716128893,8.951153
8.147253,8.051832175231539,8.892464
8.217501,8.12620761472499,8.937853
8.209868,8.116550146136433,9.005501
8.243701,8.152802908676676,8.874393
8.153422,8.060909610416275,9.087938
8.2168665,8.125801455695182,8.959278
8.087269,7.993541391682811,8.993943
8.073027,7.97947329870658,8.935078
8.192997,8.101694575510919,9.091823
8.090969,7.998726441001054,9.057008
8.1628895,8.072048086905852,8.939775
8.191722,8.102625372528564,8.95932
8.127682,8.036820584908128,8.978879
8.176352,8.087092443311121,9.112305
8.173981,8.084807023056783,8.907027
8.140448,8.04899932234548,8.974709
8.209905,8.12215191766154,9.046155
8.128261,8.038562225352507,8.945339
8.177678,8.088306021643803,8.995285
8.168087,8.081008281267714,9.058449
8.116365,8.026687773526646,8.968933
8.072621,7.982147424831055,9.01247
8.183259,8.095315838814713,8.955826
8.1109295,8.02261516492581,9.04784
8.205748,8.120004080294166,9.166004
8.234018,8.148340741579887,9.204638
8.162522,8.076297078339849,9.098068
8.192252,8.106646624219138,9.188855
8.303193,8.219749918906018,9.094418
8.187907,8.1028177018743,9.105103
8.163537,8.078427913598716,9.043288
8.114302,8.028088428429328,9.10442
8.281744,8.199197692039888,9.162682
8.239196,8.155342141981237,9.056314
8.209964,8.126120488159359,9.109409
8.106629,8.01997700840002,9.070608
8.168108,8.083786438801326,9.130135
8.179074,8.095106464345008,9.222564
8.113433,8.026522501546424,9.075211
8.088598,8.003068235877436,9.098738
8.101004,8.015256953483913,9.033506
8.246449,8.164245551568456,9.121962
8.136745,8.051779875881039,9.137758
8.187057,8.103229093947448,9.180646
8.145288,8.061462847574148,9.147608
8.174634,8.090306607307866,9.065729
8.156023,8.073692363803275,9.239813
8.083076,7.997305849741679,9.143719
8.123111,8.037836278206669,9.014937
8.296789,8.216967804764863,9.11828
8.098673,8.01342269394081,9.068975
8.1791725,8.095463752688374,9.08305
8.09529,8.009100576629862,9.0586815
8.186634,8.104058063589036,9.141064
8.130347,8.04536730342079,9.109139
8.224734,8.14365800115047,9.236234
8.061189,7.975685925630387,9.209169
8.179929,8.09752192517044,9.120727
8.019908,7.933181894244626,9.197653
8.138317,8.05491433647694,9.216032
8.258749,8.17881032457808,9.161925
8.176642,8.095237392408308,9.166433
8.155286,8.07302911701845,9.242443
8.090668,8.007180891989265,9.047762
8.015137,7.929079514462501,9.089365
8.122079,8.038463147124276,9.253264
8.207519,8.126950025674887,9.289093
8.219193,8.137498014955781,9.106228
8.221071,8.140456949418876,9.161454
8.110472,8.026179474953096,9.207323
8.10386,8.019818690430839,9.111977
8.220271,8.139741091348697,9.205406
