ABloss,Bobloss,Eveloss
8.852,8.685555714415386,8.350785
8.683889,8.515548424329609,8.301687
8.578621,8.411708393017761,8.247038
8.582293,8.42814474273473,8.176968
8.440333,8.292154958297033,8.332783
8.458144,8.318174827145413,8.184826
8.536401,8.410036811139435,8.315079
8.416941,8.293629883497488,8.333179
8.420251,8.302656612475403,8.125592
8.400958,8.287117047759239,8.323868
8.343348,8.23055664729327,8.286404
8.3293295,8.220085889101028,8.328692
8.35021,8.241676228004508,8.227362
8.367737,8.26131668058224,8.3256235
8.3691,8.260823796561453,8.320692
8.357611,8.248595422133803,8.3420315
8.330057,8.221108963771258,8.358389
8.368887,8.26075041788863,8.39077
8.314642,8.205774686182849,8.377808
8.309996,8.202090678038076,8.450153
8.241754,8.132041692675557,8.366864
8.268891,8.159034106938634,8.353872
8.262802,8.153581297257915,8.286724
8.357767,8.25072006782284,8.31625
8.230678,8.121119180810638,8.241474
8.310335,8.203265845251735,8.287826
8.292728,8.186108725087252,8.35936
8.325808,8.219859928125516,8.232698
8.235555,8.127587682625744,8.446133
8.269869,8.163916821882594,8.30112
8.154271,8.046639241918456,8.32324
8.132663,8.023940103710629,8.311032
8.270028,8.165238905290607,8.43107
8.159365,8.05136697908165,8.42354
8.218395,8.113972617138643,8.31778
8.257473,8.153355824528262,8.3151455
8.195758,8.090391224017367,8.324913
8.240372,8.136105039331596,8.398308
8.238907,8.134187584393658,8.215151
8.2022705,8.096383036172483,8.32803
8.271197,8.167533171537798,8.359337
8.198298,8.092558448435739,8.262423
8.240286,8.135645387636032,8.309336
8.219346,8.115386731515173,8.334351
8.183154,8.07763411180349,8.243808
8.140759,8.033595828805119,8.2823305
8.250827,8.147591482033022,8.224457
8.170385,8.065158910816535,8.327629
8.27442,8.17099451989634,8.42746
8.298238,8.196710932068527,8.4759865
8.227376,8.123608799476642,8.353468
8.25552,8.15190324158175,8.444506
8.359107,8.258830614504404,8.363293
8.26104,8.158325835771393,8.335123
8.230895,8.126966440235265,8.274296
8.181739,8.076070610957686,8.361588
8.341538,8.241212449036539,8.387888
8.308058,8.206525445042644,8.293864
8.271334,8.169968516856898,8.33413
8.1731205,8.068467677221633,8.248299
8.232066,8.129277370346244,8.329044
8.232138,8.129865903872997,8.397604
8.163995,8.059853035665583,8.301739
8.143539,8.037964411487337,8.324146
8.168234,8.063682117091957,8.263557
8.296206,8.195565393951256,8.303327
8.19044,8.086975653655827,8.314335
8.239943,8.138118484930601,8.413622
8.203091,8.099268043995835,8.378363
8.242761,8.14022018655669,8.274336
8.220339,8.117817370977718,8.477864
8.136915,8.031201654172037,8.336818
8.166409,8.062722965725698,8.231505
8.356435,8.258714801981114,8.311855
8.151109,8.046818218834233,8.304414
8.226992,8.125650893896818,8.300158
8.148779,8.04455491004046,8.30652
8.23871,8.13515670853667,8.318069
8.188426,8.085411986336112,8.31987
8.286146,8.185336946800817,8.442888
8.1148405,8.009021407575347,8.411202
8.231644,8.13092991115991,8.341946
8.067826,7.961550526611973,8.408165
8.196296,8.093848531891126,8.388409
8.306439,8.206777953368146,8.399034
8.22859,8.127223675663117,8.344986
8.215302,8.111820767109748,8.452723
8.141787,8.037789856316522,8.23426
8.069019,7.96305283048423,8.264209
8.172466,8.068678393319715,8.459396
8.26372,8.16380803840002,8.491091
8.25964,8.159220418077894,8.299713
8.279095,8.179209607478697,8.341184
8.1594305,8.056440918182489,8.416399
8.154053,8.051272580749355,8.312281
8.277098,8.176889075839426,8.430385
8.181635,8.078991994727403,8.47477
8.14803,8.044099495571572,8.418022
8.1289215,8.024137215397786,8.428837
8.309476,8.210276057943702,8.408331
8.210592,8.108722720935475,8.312868
