ABloss,Bobloss,Eveloss
9.667258,9.476680992462207,9.22895
9.452587,9.278002572304104,9.200966
9.294425,9.122338512679562,9.168961
9.230549,9.059906684386078,9.080395
9.125,8.943292977986857,9.178152
9.07818,8.89622734603472,9.064701
9.073173,8.904530265368521,9.174389
8.880744,8.71447250636993,9.195436
8.814677,8.663571370241698,8.995367
8.780501,8.640042259765323,9.153232
8.659971,8.533537795301527,9.161613
8.618519,8.499734388256911,9.196295
8.619046,8.512275220884476,9.079004
8.570108,8.47213111241581,9.177549
8.574962,8.483832183643244,9.181564
8.572427,8.475863615749404,9.212366
8.555097,8.45800104184309,9.240475
8.574516,8.482880756841041,9.257667
8.528643,8.43576232594205,9.25392
8.49064,8.402312076534145,9.306923
8.44147,8.347436948795803,9.246525
8.474545,8.388002648949623,9.23572
8.447344,8.36103550484404,9.217797
8.525864,8.441911808389705,9.215945
8.434103,8.345236549561378,9.172389
8.49794,8.412697742052842,9.214331
8.471029,8.387625396309886,9.272275
8.537718,8.452587392705027,9.146742
8.43003,8.34675706550479,9.384146
8.468047,8.380883527861442,9.243832
8.358491,8.267457012610976,9.265469
8.333384,8.245393409451935,9.242874
8.458197,8.369016424228903,9.344692
8.355535,8.26738855871372,9.337776
8.444283,8.360810645623133,9.2831135
8.430625,8.346879591001198,9.275345
8.369804,8.283569915278349,9.289635
8.443887,8.358432119362988,9.293682
8.425342,8.342464399989694,9.148006
8.37642,8.284161542542279,9.282314
8.460676,8.376652191858739,9.294577
8.373963,8.288628449721728,9.2085
8.4064455,8.321134022902697,9.292039
8.377652,8.29372058075387,9.24344
8.34507,8.260223473480437,9.174181
8.283343,8.195382074161898,9.222118
8.400475,8.317856083565857,9.164839
8.32677,8.240319897187874,9.269649
8.416038,8.333408638951369,9.375744
8.450178,8.366994978510775,9.390747
8.38009,8.294244226359297,9.307039
8.400013,8.317489066510461,9.369872
8.508372,8.426118794304784,9.296989
8.407052,8.326206594647374,9.228692
8.375304,8.291412346297875,9.21205
8.31779,8.234287154104095,9.344343
